Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-06-17 00:00:00-04:00,100.45044942166787,100.59057516201497,99.24537945802872,99.47891998291016,29208800,0.287,0.0,0.0
2016-06-20 00:00:00-04:00,100.63729239633044,101.11370996530536,100.0300855683384,100.10482025146484,20562800,0.0,0.0,0.0
2016-06-21 00:00:00-04:00,100.23559474990985,100.62794111580696,100.04875805632233,100.42242431640625,22804100,0.0,0.0,0.0
2016-06-22 00:00:00-04:00,100.47847413120456,101.06700082102458,100.09547137272465,100.1795425415039,22724200,0.0,0.0,0.0
2016-06-23 00:00:00-04:00,100.9548997931322,101.62749765833324,100.53452969092722,101.60881042480469,18714200,0.0,0.0,0.0
2016-06-24 00:00:00-04:00,97.99359887182052,99.48825670201958,97.20889905653432,97.42375946044922,68012700,0.0,0.0,0.0
2016-06-27 00:00:00-04:00,96.77918467299224,96.77918467299224,95.05098634665305,95.49004364013672,48222600,0.0,0.0,0.0
2016-06-28 00:00:00-04:00,96.54564487874053,97.62927626019713,96.4989410532513,97.58256530761719,28260600,0.0,0.0,0.0
2016-06-29 00:00:00-04:00,98.34855210653983,99.51625434398846,98.3018482932952,99.31073760986328,31356700,0.0,0.0,0.0
2016-06-30 00:00:00-04:00,99.47892758987088,100.52519178709832,99.14262863815819,100.45980072021484,36300800,0.0,0.0,0.0
2016-07-01 00:00:00-04:00,100.41307409745879,101.33789963395162,100.3757067611983,100.9642333984375,19902800,0.0,0.0,0.0
2016-07-05 00:00:00-04:00,100.4317497874855,100.57187550058633,99.80585588591376,100.34767150878906,21167900,0.0,0.0,0.0
2016-07-06 00:00:00-04:00,99.87127686554088,101.21646548801901,99.55365803485186,101.16976165771484,24579300,0.0,0.0,0.0
2016-07-07 00:00:00-04:00,101.26317977827972,101.69289351751503,100.99227189606995,101.46869659423828,19161700,0.0,0.0,0.0
2016-07-08 00:00:00-04:00,102.01047167812352,103.09410285053293,101.842322259201,103.03805541992188,29457900,0.0,0.0,0.0
2016-07-11 00:00:00-04:00,103.38369519641279,104.00958195548417,103.37435870896849,103.62657928466797,20218500,0.0,0.0,0.0
2016-07-12 00:00:00-04:00,104.26185179430237,104.43000128842061,104.00962398957876,104.14974975585938,21906100,0.0,0.0,0.0
2016-07-13 00:00:00-04:00,104.39261913708955,104.45801020180095,103.8881707262768,103.89751434326172,21107800,0.0,0.0,0.0
2016-07-14 00:00:00-04:00,104.58878804755726,104.80364846686116,104.3459039055379,104.60747528076172,20871000,0.0,0.0,0.0
2016-07-15 00:00:00-04:00,104.85035755361133,104.90641212894444,104.20579051755904,104.4393310546875,17999300,0.0,0.0,0.0
2016-07-18 00:00:00-04:00,104.50470551662798,105.31742189537466,104.48601828545537,105.1305923461914,20713900,0.0,0.0,0.0
2016-07-19 00:00:00-04:00,104.76630686670183,105.0745821464919,104.56079001350844,104.74761962890625,18936700,0.0,0.0,0.0
2016-07-20 00:00:00-04:00,105.3174035435813,106.16749423654299,105.18662145652401,105.97132110595703,24997900,0.0,0.0,0.0
2016-07-21 00:00:00-04:00,106.04606624627117,106.25158302494322,105.43886665285518,105.72845458984375,18885400,0.0,0.0,0.0
2016-07-22 00:00:00-04:00,105.80317317603593,106.28893420234367,105.47621795380097,106.16749572753906,20003400,0.0,0.0,0.0
2016-07-25 00:00:00-04:00,106.08345033774474,106.20489597728333,105.82188607887934,106.17687225341797,12968100,0.0,0.0,0.0
2016-07-26 00:00:00-04:00,106.13948823903169,106.68129677852907,105.76582201631285,106.29829406738281,21223800,0.0,0.0,0.0
2016-07-27 00:00:00-04:00,107.19509887316947,107.31653737803552,106.58789209465705,107.03629302978516,27646100,0.0,0.0,0.0
2016-07-28 00:00:00-04:00,107.20443347532354,107.5313887510026,106.86813458402781,107.40995025634766,16939700,0.0,0.0,0.0
2016-07-29 00:00:00-04:00,107.65283777117735,107.93308925035491,107.30720235756166,107.64350128173828,22385300,0.0,0.0,0.0
2016-08-01 00:00:00-04:00,107.71820557884612,108.48421804586386,107.58742348402039,108.21331024169922,13990100,0.0,0.0,0.0
2016-08-02 00:00:00-04:00,108.05451237716618,108.14792714789898,106.69998038381517,107.3912582397461,21278400,0.0,0.0,0.0
2016-08-03 00:00:00-04:00,107.30720376388666,107.75559758393784,107.2418127015004,107.74625396728516,15011300,0.0,0.0,0.0
2016-08-04 00:00:00-04:00,107.70889947560619,108.15729331947294,107.45667170222596,108.05453491210938,12835300,0.0,0.0,0.0
2016-08-05 00:00:00-04:00,108.60568478001792,109.3343300578139,108.48423914899124,109.09144592285156,23196600,0.0,0.0,0.0
2016-08-08 00:00:00-04:00,109.14751008380878,109.17554093709427,108.62438152262021,108.97002410888672,12358200,0.0,0.0,0.0
2016-08-09 00:00:00-04:00,109.05407954392871,109.56787154027425,108.98868848322029,109.22222900390625,13276500,0.0,0.0,0.0
2016-08-10 00:00:00-04:00,109.28761384419393,109.31563756474661,108.65238337900045,108.94197845458984,14688400,0.0,0.0,0.0
2016-08-11 00:00:00-04:00,109.31562809125921,109.64259047494726,109.09143121917631,109.40904998779297,12969800,0.0,0.0,0.0
2016-08-12 00:00:00-04:00,109.22223852976403,109.493146412638,109.10080001416883,109.48380279541016,19379000,0.0,0.0,0.0
2016-08-15 00:00:00-04:00,109.62391902495072,110.20310208221804,109.58655168637628,109.95087432861328,11777800,0.0,0.0,0.0
2016-08-16 00:00:00-04:00,109.74535602587966,109.75469251447066,109.3249788452971,109.34366607666016,14161400,0.0,0.0,0.0
2016-08-17 00:00:00-04:00,109.37169886687705,109.5772156663712,108.76449208485101,109.53984832763672,15980300,0.0,0.0,0.0
2016-08-18 00:00:00-04:00,109.43704325113842,109.72663109395272,109.25020663715493,109.56782531738281,10036300,0.0,0.0,0.0
2016-08-19 00:00:00-04:00,109.37169886687705,109.78272533877424,109.07276728409224,109.53984832763672,18743000,0.0,0.0,0.0
2016-08-22 00:00:00-04:00,109.38104010659414,109.81076095715775,109.17553042526595,109.6239242553711,14500600,0.0,0.0,0.0
2016-08-23 00:00:00-04:00,110.05361647505194,110.24045314033188,109.77337216776706,109.82007598876953,11997900,0.0,0.0,0.0
2016-08-24 00:00:00-04:00,109.74537613687865,109.89483837971967,108.7458228885011,109.11014556884766,17728700,0.0,0.0,0.0
2016-08-25 00:00:00-04:00,108.82989692171826,109.2689542985612,108.69911478313848,108.93265533447266,24266300,0.0,0.0,0.0
2016-08-26 00:00:00-04:00,108.97000741891591,109.80141109507707,108.43753532151953,109.09144592285156,23896000,0.0,0.0,0.0
2016-08-29 00:00:00-04:00,109.11946014126907,109.53049369893185,109.10078003732549,109.24090576171875,11184900,0.0,0.0,0.0
2016-08-30 00:00:00-04:00,109.0634260033806,109.38103769878921,108.51227378119816,108.88593292236328,19843300,0.0,0.0,0.0
2016-08-31 00:00:00-04:00,108.71777203216445,108.88592147885336,108.31608208324593,108.7738265991211,16169800,0.0,0.0,0.0
2016-09-01 00:00:00-04:00,108.81119253136183,109.18485162843756,108.27872047822942,109.05406951904297,20944700,0.0,0.0,0.0
2016-09-02 00:00:00-04:00,109.59587952668038,109.82007639876328,108.9980164497326,109.40904998779297,18088200,0.0,0.0,0.0
2016-09-06 00:00:00-04:00,109.59590623427773,110.09101104736328,109.35302207286324,110.09101104736328,18525200,0.0,0.0,0.0
2016-09-07 00:00:00-04:00,110.19373940242244,110.34320873086223,109.73600205648285,110.1563720703125,17546900,0.0,0.0,0.0
2016-09-08 00:00:00-04:00,109.82946020746812,109.8574839358479,109.22225329323305,109.51184844970703,20125300,0.0,0.0,0.0
2016-09-09 00:00:00-04:00,108.59631965494414,108.8392037418005,106.7373394904145,106.75601959228516,50813300,0.0,0.0,0.0
2016-09-12 00:00:00-04:00,106.15820550887211,108.82056669631224,106.1488618900831,108.67110443115234,39646000,0.0,0.0,0.0
2016-09-13 00:00:00-04:00,108.12925285470315,108.44686451767895,107.17641073868522,107.69953918457031,45863900,0.0,0.0,0.0
2016-09-14 00:00:00-04:00,107.81162746979848,108.80183679550467,107.783596626259,108.21331024169922,28221800,0.0,0.0,0.0
2016-09-15 00:00:00-04:00,108.24136501647209,110.06297825935187,108.23202139989314,109.89482879638672,38521400,0.0,0.0,0.0
2016-09-16 00:00:00-04:00,109.77678369699252,109.95472139273511,109.29916559759867,109.84233856201172,27596500,0.294,0.0,0.0
2016-09-19 00:00:00-04:00,110.12331073031572,110.46045215655518,109.1493545488974,109.36474609375,16222900,0.0,0.0,0.0
2016-09-20 00:00:00-04:00,109.758113722299,110.02034048039096,109.38351835777911,109.57081604003906,18078600,0.0,0.0,0.0
2016-09-21 00:00:00-04:00,110.03905326544216,110.8069850960499,109.392864198181,110.64778137207031,31546800,0.0,0.0,0.0
2016-09-22 00:00:00-04:00,111.29393532667511,111.64981079078493,111.18155961796327,111.52806091308594,22614400,0.0,0.0,0.0
2016-09-23 00:00:00-04:00,111.44381553538904,111.44381553538904,110.65715673765554,110.81636047363281,22213400,0.0,0.0,0.0
2016-09-26 00:00:00-04:00,110.18890125836396,110.32001105304408,109.73000983203555,109.88921356201172,16403900,0.0,0.0,0.0
2016-09-27 00:00:00-04:00,109.81430177411157,111.03175092143898,109.71128591192142,110.9755630493164,20238400,0.0,0.0,0.0
2016-09-28 00:00:00-04:00,111.11601333354459,111.22838905094784,110.59156712085922,111.16283416748047,14794300,0.0,0.0,0.0
2016-09-29 00:00:00-04:00,110.9755474789978,111.18157917447103,109.87984125665069,110.35745239257812,27207500,0.0,0.0,0.0
2016-09-30 00:00:00-04:00,110.64777344273571,111.50935404070884,110.53539056889032,111.18157958984375,25543200,0.0,0.0,0.0
2016-10-03 00:00:00-04:00,111.04113444357831,111.16287723291148,110.5916099649765,111.02240753173828,19216400,0.0,0.0,0.0
2016-10-04 00:00:00-04:00,111.3501430694013,111.59363570771983,110.43236752186021,110.85379791259766,21239700,0.0,0.0,0.0
2016-10-05 00:00:00-04:00,111.18156883443031,111.60299206692558,111.13474085528796,111.24712371826172,14481300,0.0,0.0,0.0
2016-10-06 00:00:00-04:00,111.10666716690018,111.42508176419386,110.64778289648198,111.19095611572266,11987100,0.0,0.0,0.0
2016-10-07 00:00:00-04:00,111.29394241827579,111.45315325733885,110.40426799120334,110.94744110107422,19984200,0.0,0.0,0.0
2016-10-10 00:00:00-04:00,111.51872389552709,111.89332633956775,111.47189591066675,111.64983367919922,19687300,0.0,0.0,0.0
2016-10-11 00:00:00-04:00,111.55617947935595,111.57490638542937,109.57079162306479,110.05776977539062,27774400,0.0,0.0,0.0
2016-10-12 00:00:00-04:00,110.16077597694002,110.33871372132108,109.62696988874315,109.964111328125,14267800,0.0,0.0,0.0
2016-10-13 00:00:00-04:00,109.21494758576573,109.87049661862413,108.57812546315388,109.57081604003906,22821000,0.0,0.0,0.0
2016-10-14 00:00:00-04:00,110.11398300694414,110.55414039445728,109.63636465613752,109.70191955566406,21313300,0.0,0.0,0.0
2016-10-17 00:00:00-04:00,109.6082839477702,109.85177666608918,109.26177535419895,109.40225219726562,14182700,0.0,0.0,0.0
2016-10-18 00:00:00-04:00,110.70397995040021,110.89128477168578,110.32001757042444,110.37620544433594,19276700,0.0,0.0,0.0
2016-10-19 00:00:00-04:00,110.29189174796015,110.52601736333702,110.17014900014502,110.36681365966797,13702900,0.0,0.0,0.0
2016-10-20 00:00:00-04:00,110.25444419550671,110.47920279844155,109.59888814827161,110.23571014404297,18132200,0.0,0.0,0.0
2016-10-21 00:00:00-04:00,110.32000689771598,110.71333626694118,109.95477146272863,110.64778137207031,15707800,0.0,0.0,0.0
2016-10-24 00:00:00-04:00,111.35949700801274,112.05250674107556,111.34076295998771,111.97758483886719,19143000,0.0,0.0,0.0
2016-10-25 00:00:00-04:00,112.04318085833404,112.06191491323804,111.45318673793061,111.62175750732422,20341800,0.0,0.0,0.0
2016-10-26 00:00:00-04:00,110.90062013566258,111.47188721062578,110.53538474608897,110.8631591796875,20463700,0.0,0.0,0.0
2016-10-27 00:00:00-04:00,111.34078288644683,111.43443170849453,110.19824868060232,110.35745239257812,19099800,0.0,0.0,0.0
2016-10-28 00:00:00-04:00,110.03903875230796,110.61030582295822,109.32729488404837,109.66443634033203,35369300,0.0,0.0,0.0
2016-10-31 00:00:00-04:00,110.0671211279175,110.0671211279175,109.50522114141563,109.56140899658203,18749400,0.0,0.0,0.0
2016-11-01 00:00:00-04:00,109.74873679186557,109.76746369920319,107.7914427350264,108.73731231689453,23498700,0.0,0.0,0.0
2016-11-02 00:00:00-04:00,108.66239694613452,108.91525665258948,107.59478453986401,107.86637115478516,26960100,0.0,0.0,0.0
2016-11-03 00:00:00-04:00,107.68841289825409,108.04428839598343,106.68635557954931,106.80810546875,36205200,0.0,0.0,0.0
2016-11-04 00:00:00-04:00,106.5458855531261,107.26699647436864,106.2462050409719,106.43350982666016,26997500,0.0,0.0,0.0
2016-11-07 00:00:00-05:00,108.15668148550309,109.0744571621086,107.97875085300893,108.96207427978516,26591200,0.0,0.0,0.0
2016-11-08 00:00:00-05:00,108.84970077649537,110.1701657323961,108.59684107231473,109.67382049560547,20777900,0.0,0.0,0.0
2016-11-09 00:00:00-05:00,108.39080396890193,110.35745791001717,108.25969418249075,110.17952728271484,70234400,0.0,0.0,0.0
2016-11-10 00:00:00-05:00,110.71333958959252,110.86317629167372,106.94859509988734,108.40017700195312,72825400,0.0,0.0,0.0
