Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-06-17 00:00:00-04:00,176.92472855733772,176.95034773931897,175.71203949611714,176.36962890625,117055700,1.078,0.0,0.0
2016-06-20 00:00:00-04:00,178.33385095724924,179.00851114307952,177.42005668472956,177.50546264648438,82789600,0.0,0.0,0.0
2016-06-21 00:00:00-04:00,177.88979308996412,178.419273654042,177.44570547076717,178.0093536376953,72461700,0.0,0.0,0.0
2016-06-22 00:00:00-04:00,178.18877970990013,178.9146917864016,177.57389285315583,177.71908569335938,95560500,0.0,0.0,0.0
2016-06-23 00:00:00-04:00,179.1793784115064,180.08462461462645,178.71821992296182,180.03338623046875,102731400,0.0,0.0,0.0
2016-06-24 00:00:00-04:00,173.90162027493437,180.0675579096648,173.12447001464724,173.5685577392578,333444400,0.0,0.0,0.0
2016-06-27 00:00:00-04:00,172.15941269714784,172.16796111424463,169.64862792193355,170.45994567871094,230775800,0.0,0.0,0.0
2016-06-28 00:00:00-04:00,172.06548362968255,173.5599972426327,171.75804030805926,173.5343780517578,159382400,0.0,0.0,0.0
2016-06-29 00:00:00-04:00,174.93491196423045,176.71978470349455,174.8324352231808,176.4892120361328,137328600,0.0,0.0,0.0
2016-06-30 00:00:00-04:00,176.95896414285914,178.94879087388307,176.40385124737338,178.89755249023438,165021900,0.0,0.0,0.0
2016-07-01 00:00:00-04:00,178.89754991350944,179.76010612958862,178.73528634687574,179.2733154296875,106055300,0.0,0.0,0.0
2016-07-05 00:00:00-04:00,178.4449231161789,178.55594829759565,177.3859618083562,177.9837646484375,109803700,0.0,0.0,0.0
2016-07-06 00:00:00-04:00,177.488433771584,179.17083009603255,176.83084414971785,179.05126953125,96021500,0.0,0.0,0.0
2016-07-07 00:00:00-04:00,179.23057552857622,179.89670043150437,178.1716144168044,178.94021606445312,85593800,0.0,0.0,0.0
2016-07-08 00:00:00-04:00,180.23834693966376,181.85242114379284,180.00776118732395,181.60475158691406,133971000,0.0,0.0,0.0
2016-07-11 00:00:00-04:00,182.06588969319793,182.8174205815549,181.86092316970357,182.24522399902344,73633900,0.0,0.0,0.0
2016-07-12 00:00:00-04:00,183.2102575647061,183.8678470947775,182.2708439503184,183.56893920898438,101275600,0.0,0.0,0.0
2016-07-13 00:00:00-04:00,183.98743791332976,183.99597329991124,183.05657256209142,183.54335021972656,87324100,0.0,0.0,0.0
2016-07-14 00:00:00-04:00,184.80728215153275,185.03786790555398,184.175324721354,184.5681610107422,91230900,0.0,0.0,0.0
